fight_id,event_id,fighter_name,fighter_id,kd,sig_str_landed,sig_str_atmpted,sig_str_acc,total_str_landed,total_str_atmpted,total_str_acc,td_landed,td_atmpted,td_acc,sub_att,ctrl,head_landed,head_atmpted,head_acc,body_landed,body_atmpted,body_acc,leg_landed,leg_atmpted,leg_acc,dist_landed,dist_atmpted,dist_acc,clinch_landed,clinch_atmpted,clinch_acc,ground_landed,ground_atmpted,ground_acc,landed_head_per,landed_body_per,landed_leg_per,landed_dist_per,landed_clinch_per,landed_ground_per,corner
74e92a66b29674a9,0a97691039c4bbfb,Ivan Menjivar,5755960ebd0b16f6,0,25,35,71,33,44,75,1,1,100,2,129,21,30,70,4,5,80,0,0,,4,11,36,0,1,0,21,23,91,84,16,0,16,0,84,R
5f7a1ba6e016b249,0a97691039c4bbfb,TJ Dillashaw,c849740a3ff51931,0,85,114,74,154,192,80,3,7,42,5,744,76,105,72,5,5,100,4,4,100,9,15,60,0,0,,76,99,77,89,5,4,10,0,89,R
2341651d1043e2c0,0a97691039c4bbfb,Jonathan Brookins,b0a6124751a56bc4,0,18,28,64,18,28,64,1,1,100,0,7,13,21,62,4,6,67,1,1,100,9,18,50,0,1,0,9,9,100,72,22,5,50,0,50,R
adb35d212e716b8a,0a97691039c4bbfb,Anton Kuivanen,706f8e2b34e8e18b,0,38,115,33,39,117,33,0,0,,0,1,16,85,19,19,26,73,3,4,75,29,102,28,9,12,75,0,1,0,42,50,7,76,23,0,R
638a999dab6fe310,0a97691039c4bbfb,Tim Means,4b47e71384a9522f,0,83,170,48,98,186,53,0,0,,0,60,49,132,37,31,35,89,3,3,100,46,125,37,21,25,84,16,20,80,59,37,3,55,25,19,R
43b494c32b7f18cb,8377c5572cb356f3,Frankie Edgar,f2688492b9a525a3,0,68,190,35,81,204,40,5,12,41,0,127,33,132,25,18,37,49,17,21,81,57,177,32,6,6,100,5,7,71,48,26,25,83,8,7,R
7c307d98ed135d32,8377c5572cb356f3,Quinton Jackson,ffc088e64fab57e9,0,16,39,41,30,53,56,1,4,25,0,21,8,29,28,6,8,75,2,2,100,9,31,28,6,6,100,1,2,50,50,37,12,56,37,6,R
319053a9de63ab85,8377c5572cb356f3,Mark Hunt,eef9b891edbd4604,1,10,16,62,10,16,62,0,0,,0,18,8,14,56,0,0,,2,2,100,9,15,60,0,0,,1,1,100,80,0,20,90,0,10,R
53d2a57daaae700b,8377c5572cb356f3,Yoshihiro Akiyama,b0550072e5f0afa7,0,33,97,34,52,118,44,2,4,50,0,67,29,92,32,2,3,67,2,2,100,28,90,31,5,7,71,0,0,,87,6,6,84,15,0,R
eac1c31f1b3d11f3,8377c5572cb356f3,Yushin Okami,acff437707625fc7,0,29,75,38,43,91,47,1,2,50,0,242,26,72,36,2,2,100,1,1,100,19,58,33,0,0,,10,17,59,89,6,3,65,0,34,R
6bcf5381dd8de85b,8377c5572cb356f3,Hatsu Hioki,ef7fa30364cbe7f2,0,67,111,60,175,221,79,2,5,40,2,501,48,86,56,15,21,71,4,4,100,31,68,46,2,2,100,34,41,83,71,22,5,46,2,50,R
1b4f87d607b3964d,8377c5572cb356f3,Takanori Gomi,3be081c29bf734d9,0,48,107,44,95,156,61,0,0,,0,26,34,87,39,11,17,65,3,3,100,31,85,36,10,14,71,7,8,88,70,22,6,64,20,14,R
9b4bff38430a01eb,8377c5572cb356f3,Anthony Pettis,cbb682f5fcc44bfc,1,9,20,45,9,20,45,0,0,,0,2,8,17,47,0,1,0,1,2,50,6,16,38,0,0,,3,4,75,88,0,11,66,0,33,R
a196dce12754e34e,8377c5572cb356f3,Norifumi Yamamoto,4834ff149dc9542a,0,21,49,42,21,49,43,1,2,50,0,40,19,45,42,2,4,50,0,0,,17,40,42,4,9,44,0,0,,90,9,0,80,19,0,R
fb57dcc651894ae9,8377c5572cb356f3,Riki Fukuda,7c35f869033901ae,0,124,242,51,187,310,60,3,6,50,0,216,86,190,45,15,21,71,23,31,74,99,193,51,19,37,51,6,12,50,69,12,18,79,15,4,R
84e800acc2aacd8e,8377c5572cb356f3,Zhang Tiequan,c23e3d4875340d8d,0,6,19,31,6,19,32,0,0,,1,1,3,16,19,0,0,,3,3,100,6,19,32,0,0,,0,0,,50,0,50,100,0,0,R
09a2909e1848be52,df2cf66d8c0123db,Nick Diaz,f57a8a52ca401ed9,0,105,246,42,117,258,45,1,3,33,0,105,57,177,32,42,59,71,6,10,60,103,242,43,1,3,33,1,1,100,54,40,5,98,0,0,R
3101c8d54df53e27,8377c5572cb356f3,Takeya Mizugaki,48e093ea1f43a053,0,28,88,31,70,141,50,2,4,50,0,483,20,74,27,6,8,75,2,6,33,6,51,12,8,12,67,14,25,56,71,21,7,21,28,50,R
6bde0b88f21304d4,df2cf66d8c0123db,Roy Nelson,3f7c14c7eca7195d,0,26,69,37,55,99,56,0,0,,1,164,18,60,30,5,5,100,3,4,75,21,59,36,4,9,44,1,1,100,69,19,11,80,15,3,R
cee1fb8ac703f34f,df2cf66d8c0123db,Josh Koscheck,dd37fd509af89f15,0,33,95,34,47,110,43,2,3,66,0,157,22,84,26,11,11,100,0,0,,21,81,26,11,13,85,1,1,100,66,33,0,63,33,3,R
6fbe7dffff5f5f1e,df2cf66d8c0123db,Renan Barao,2c99576fefe53c7c,0,104,299,34,129,324,40,0,0,,0,115,68,250,27,16,23,70,20,26,77,102,296,34,2,3,67,0,0,,65,15,19,98,1,0,R
099a2db0470d456b,df2cf66d8c0123db,Dustin Poirier,029eaff01e6bb8f0,0,11,25,44,15,29,52,1,3,33,3,88,6,19,32,0,1,0,5,5,100,7,21,33,2,2,100,2,2,100,54,0,45,63,18,18,R
7e57d7848f9faacf,df2cf66d8c0123db,Ed Herman,06f36cf4bd97ec77,0,28,57,49,53,88,60,2,4,50,2,83,10,36,28,14,15,93,4,6,67,13,41,32,15,16,94,0,0,,35,50,14,46,53,0,R
6ecc59654c2f519f,df2cf66d8c0123db,Matthew Riddle,d023ae89a2a4a41e,0,74,158,46,112,200,56,2,3,66,0,140,30,101,30,30,42,71,14,15,93,63,145,43,1,2,50,10,11,91,40,40,18,85,1,13,R
bd340a13bc3df8a1,df2cf66d8c0123db,Matt Brown,31123249b0bbf52e,1,48,71,67,48,71,68,1,3,33,0,80,24,42,56,15,19,79,9,10,90,35,54,65,9,13,69,4,4,100,50,31,18,72,18,8,R
d019250cc6d93527,df2cf66d8c0123db,Alex Caceres,7aa3d6964eff4877,0,55,89,61,76,113,67,1,1,100,7,362,35,63,56,13,19,68,7,7,100,52,85,61,2,2,100,1,2,50,63,23,12,94,3,1,R
40c080d0f86f1f1f,df2cf66d8c0123db,Dan Stittgen,cc3147b49c7d7d92,0,8,22,36,8,22,36,0,0,,0,0,0,5,0,1,5,20,7,12,57,8,22,36,0,0,,0,0,,0,12,87,100,0,0,R
5510b86a35c5614b,df2cf66d8c0123db,Rafael Natal,0dba4df5f34d5ff0,0,36,72,50,61,98,62,6,16,37,2,384,25,56,45,5,8,62,6,8,75,24,51,47,11,19,57,1,2,50,69,13,16,66,30,2,R
e0df5f84686586a1,c3c23c99477c041b,Rashad Evans,ee779c43a8926d52,0,62,162,38,106,209,51,3,4,75,0,427,56,151,37,5,10,50,1,1,100,34,116,28,14,28,50,14,18,78,90,8,1,54,22,22,R
81c5c897717a1ef6,c3c23c99477c041b,Chael Sonnen,48d1f690b763934c,0,40,97,41,135,203,67,4,7,57,0,450,24,76,32,12,16,75,4,5,80,14,56,25,15,21,71,11,20,55,60,30,10,35,37,27,R
ba75be28158d424c,c3c23c99477c041b,Demian Maia,427b5953ac8e3a27,0,51,169,30,60,178,34,0,7,0,0,0,35,145,24,14,20,70,2,4,50,39,143,27,12,26,46,0,0,,68,27,3,76,23,0,R
c63a050af0692daf,c3c23c99477c041b,Mike Russow,353de740bb6c7e75,0,21,37,56,58,76,76,6,10,60,0,648,16,31,52,5,6,83,0,0,,12,26,46,0,1,0,9,10,90,76,23,0,57,0,42,R
e7861d4e2b29193f,c3c23c99477c041b,Evan Dunham,e5c9de15bb58b1c6,0,68,97,70,100,129,78,2,2,100,1,293,65,94,69,3,3,100,0,0,,42,66,64,17,20,85,9,11,82,95,4,0,61,25,13,R
ca263e46051261e2,c3c23c99477c041b,Cub Swanson,d247691a6c0e9034,1,43,66,65,50,74,68,2,2,100,0,68,24,45,53,9,10,90,10,11,91,28,48,57,5,5,100,10,13,77,55,20,23,65,11,23,R
e8a167bb84082832,c3c23c99477c041b,Michael Johnson,511e82663651438d,0,64,136,47,77,149,52,1,1,100,0,266,44,113,39,5,7,71,15,16,94,42,110,38,19,20,95,3,6,50,68,7,23,65,29,4,R
7a4e5bcd7336d203,c3c23c99477c041b,Charles Oliveira,07225ba28ae309b6,0,6,12,50,7,13,54,1,1,100,2,35,2,6,33,1,2,50,3,4,75,3,5,60,0,0,,3,7,43,33,16,50,50,0,50,R
fd230ba169b3f2b6,c3c23c99477c041b,Joey Beltran,46baf0f57edfa4df,0,22,71,30,36,85,42,0,3,0,0,4,11,57,19,7,10,70,4,4,100,19,68,28,3,3,100,0,0,,50,31,18,86,13,0,R
7a37fd92b26d15c8,c3c23c99477c041b,Chris Camozzi,6c2030e0a143a94b,0,44,128,34,44,128,34,0,1,0,2,6,24,103,23,4,8,50,16,17,94,42,122,34,2,5,40,0,1,0,54,9,36,95,4,0,R
90d50fb7e2bf789e,4d74641fac830182,Melvin Guillard,ccd1299e0345e0ce,0,16,26,61,21,31,68,0,0,,0,1,12,21,56,4,4,100,0,1,0,7,14,50,4,6,67,5,6,83,75,25,0,43,25,31,R
d391ca8154bcf507,4d74641fac830182,Duane Ludwig,84ac950d4c1722dd,0,24,46,52,30,53,56,0,0,,0,10,11,33,33,12,12,100,1,1,100,14,35,40,10,11,91,0,0,,45,50,4,58,41,0,R
77c1e127c1be9983,4d74641fac830182,Mike Easton,bc7230f231701d66,0,85,152,55,122,191,64,1,3,33,0,136,37,95,39,30,35,86,18,22,82,60,124,48,25,28,89,0,0,,43,35,21,70,29,0,R
fc91f1e448f35797,4d74641fac830182,Pat Barry,658c3465581ae46b,1,12,13,92,12,15,80,0,0,,0,25,10,10,100,0,0,,2,3,67,8,9,89,0,0,,4,4,100,83,0,16,66,0,33,R
8360accf6f70ebc4,4d74641fac830182,Kamal Shalorus,ece280745f8727b8,0,13,44,29,18,51,35,0,2,0,0,5,9,37,24,2,5,40,2,2,100,11,40,28,2,4,50,0,0,,69,15,15,84,15,0,R
37e0251af7b18742,4d74641fac830182,Fabricio Camoes,7abe471b61725980,0,6,13,46,26,33,79,1,4,25,1,67,5,12,42,0,0,,1,1,100,2,7,28,0,1,0,4,5,80,83,0,16,33,0,66,R
0071c5d16e6e07f6,4d74641fac830182,Jorge Rivera,cb46dface0e28a2c,0,6,17,35,34,48,71,0,0,,0,58,6,17,35,0,0,,0,0,,0,8,0,0,0,,6,9,67,100,0,0,0,0,100,R
be7b9301e7c689c1,4d74641fac830182,Charlie Brenneman,98f6da59d765ec94,0,24,26,92,156,177,88,2,5,40,0,790,8,10,80,13,13,100,3,3,100,4,5,80,1,1,100,19,20,95,33,54,12,16,4,79,R
f4bdf10856c1760e,4d74641fac830182,Daniel Pineda,361d49960a196976,0,19,24,79,38,44,86,1,1,100,1,45,16,21,76,1,1,100,2,2,100,8,12,67,0,0,,11,12,92,84,5,10,42,0,57,R
9afcb091777f6a83,18524b46c570730b,Jose Aldo,d0f3959b4a9747e6,1,11,23,47,15,27,56,0,0,,0,2,6,14,43,1,1,100,4,8,50,7,18,39,1,2,50,3,3,100,54,9,36,63,9,27,R
26cdaf7cf575f656,4d74641fac830182,Joseph Sandoval,696002b59f09d73b,0,3,4,75,3,4,75,0,0,,0,0,3,4,75,0,0,,0,0,,3,4,75,0,0,,0,0,,100,0,0,100,0,0,R
c715c165cb3469d2,18524b46c570730b,Rousimar Palhares,8ddf9c51c5fdea75,0,4,8,50,4,8,50,0,1,0,1,1,0,3,0,0,0,,4,5,80,4,7,56,0,1,0,0,0,,0,0,100,100,0,0,R
50bdcb20286690ff,18524b46c570730b,Vitor Belfort,0ee783aa00e468f0,0,14,29,48,37,54,69,0,0,,1,72,14,28,50,0,1,0,0,0,,2,10,20,1,6,17,11,13,85,100,0,0,14,7,78,R
b2a91be41c3233cd,18524b46c570730b,Erick Silva,5866fc86183a9fb8,0,8,10,80,12,15,80,0,0,,0,4,7,9,78,1,1,100,0,0,,1,2,50,0,0,,7,8,88,87,12,0,12,0,87,R
11e7f12ecb2d1597,18524b46c570730b,Edson Barboza,64a50dad704d1d49,1,47,129,36,47,129,36,0,0,,0,1,14,61,23,10,36,28,23,32,72,43,125,34,4,4,100,0,0,,29,21,48,91,8,0,R
977e37adadd1b8ad,18524b46c570730b,Thiago Tavares,8a59d346dc976a10,0,50,128,39,57,136,42,2,11,18,0,142,22,92,24,24,30,80,4,6,67,49,127,39,1,1,100,0,0,,44,48,8,98,2,0,R
0be68308b5d63a47,18524b46c570730b,Iuri Alcantara,2f95a3c6d58b2aad,0,60,137,43,101,181,56,0,0,,2,258,46,121,38,13,15,87,1,1,100,44,121,36,2,2,100,14,14,100,76,21,1,73,3,23,R
0695d1f42b1550a2,18524b46c570730b,Gabriel Gonzaga,270b89c00ef0c55c,0,2,7,28,4,9,44,2,2,100,1,79,0,5,0,2,2,100,0,0,,1,6,17,0,0,,1,1,100,0,100,0,50,0,50,R
f126491f024c1563,18524b46c570730b,Ricardo Funch,e9e1acc96536bb4f,0,2,8,25,4,10,40,0,0,,0,0,1,6,17,0,1,0,1,1,100,2,8,25,0,0,,0,0,,50,0,50,100,0,0,R
7bb603674999e675,18524b46c570730b,Felipe Arantes,71002dbc1743b9a7,0,53,122,43,72,144,50,0,0,,0,167,36,100,36,9,11,82,8,11,73,47,110,43,2,5,40,4,7,56,67,16,15,88,3,7,R
