fight_id,event_id,fighter_id,fighter_name,corner,division,title_fight,finish_round,match_time_sec,mins,win,finish_win,kd_pm,sig_att_pm,sig_land_pm,td_att_pm,td_land_pm,sub_att_pm,ctrl_sec_pm
87b6c507a7684ec2,7139cd2ae4bf6a29,6fd953151d981979,JJ Aldrich,B,women's strawweight,0,3,300,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.4
9cad47cdd6351e50,bd4389b71fdc0ce2,13a0275fa13c4d26,Jared Cannonier,B,light heavyweight,0,3,300,5.0,1,0,0.0,0.0,0.0,0.4,0.0,0.0,38.0
5e1370a92ce8abb0,bd4389b71fdc0ce2,056c493bbd76a918,Henry Cejudo,B,flyweight,0,3,300,5.0,0,0,0.2,0.0,0.0,1.4,0.2,0.0,2.6
27ff7028ec8c2161,bd4389b71fdc0ce2,47b9e0e7703a4868,Jorge Masvidal,B,welterweight,0,1,245,4.08333333333333,1,1,0.0,0.0,0.0,0.0,0.0,0.0,9.30612244897959
a716172939767cab,bd4389b71fdc0ce2,4c2d90e335e6df19,Alexis Davis,B,women's bantamweight,0,2,172,2.86666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,129.418604651163
36830f6eb3c847f5,bd4389b71fdc0ce2,20999e27ddd94bda,Ryan Benoit,B,flyweight,0,3,300,5.0,0,0,0.2,0.0,0.0,0.2,0.0,0.0,3.2
63b35df1276b3d64,bd4389b71fdc0ce2,67c1d46f4ed16f9e,Matt Schnell,B,bantamweight,0,1,227,3.78333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
019983faebec6d64,bd4389b71fdc0ce2,8866c6f509c19089,Ryan Hall,B,featherweight,0,3,300,5.0,1,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
163fbb2185730846,bd4389b71fdc0ce2,d4c9dcd330403612,Anthony Smith,B,middleweight,0,2,207,3.45,1,1,0.289855072463768,0.0,0.0,0.0,0.0,0.0,0.869565217391304
5ae45d20a60dc109,bd4389b71fdc0ce2,882d62561063a927,Jamie Moyle,B,women's strawweight,0,3,300,5.0,1,0,0.0,0.0,0.0,2.0,0.6,0.0,17.2
c5d48ca7c22f857e,bd4389b71fdc0ce2,494b0bfdbac74502,Brendan O'Reilly,B,lightweight,0,3,300,5.0,0,0,0.0,0.0,0.0,0.4,0.0,0.0,44.2
fe132ef2ab8ae9d2,bd4389b71fdc0ce2,cc7040fe76f0ef91,Devin Clark,B,light heavyweight,0,3,300,5.0,1,0,0.0,0.0,0.0,1.2,0.2,0.0,56.2
6d04fbef6b8e4551,73e09f837f3b5ecc,b1a3e0aca758b322,Derek Brunson,B,middleweight,0,1,247,4.11666666666667,0,0,0.0,0.0,0.0,0.728744939271255,0.0,0.0,17.4898785425101
0d33d43bee65d98f,73e09f837f3b5ecc,66ab58d0b3783607,Andrew Holbrook,B,lightweight,0,3,300,5.0,1,0,0.0,0.0,0.0,0.4,0.4,0.0,34.8
450760216f5643ca,73e09f837f3b5ecc,16690d100f995f8f,Omari Akhmedov,B,welterweight,0,3,300,5.0,1,0,0.0,0.0,0.0,0.8,0.6,0.0,77.2
2cab927474cb6e62,73e09f837f3b5ecc,e1248941344b3288,Alexander Volkanovski,B,lightweight,0,2,126,2.1,1,1,0.0,0.0,0.0,1.42857142857143,1.42857142857143,0.0,125.238095238095
d1c519260c0ddf3a,73e09f837f3b5ecc,49e96ff8ab781589,Tyson Pedro,B,light heavyweight,0,1,247,4.11666666666667,1,1,0.0,0.0,0.0,0.48582995951417,0.48582995951417,0.0,45.668016194332
314aea77cd24210f,73e09f837f3b5ecc,b76c6268dc1d3c05,Danielle Taylor,B,women's strawweight,0,3,300,5.0,1,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
71854cfe738d6ee1,73e09f837f3b5ecc,6c2030e0a143a94b,Chris Camozzi,B,middleweight,0,3,300,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64bc223daa594bcc,73e09f837f3b5ecc,53ec9cb470e1a4ea,Jon Tuck,B,lightweight,0,3,300,5.0,0,0,0.2,0.0,0.0,0.2,0.0,0.0,45.2
2c0a58ef0324e18b,73e09f837f3b5ecc,5823ceab56741617,Jonathan Meunier,B,welterweight,0,3,300,5.0,1,0,0.0,0.0,0.0,0.6,0.2,0.0,15.8
291d91378a96d1e8,73e09f837f3b5ecc,c169545ab0825f44,Geane Herrera,B,flyweight,0,3,300,5.0,0,0,0.0,0.0,0.0,1.0,0.2,0.0,7.6
4f60a7e7b848bc6d,73e09f837f3b5ecc,bb1a2cdad6ff34db,Jason Knight,B,featherweight,0,3,300,5.0,1,0,0.0,0.0,0.0,2.6,0.8,0.0,58.4
0da0dc2c7eb29f58,73e09f837f3b5ecc,ec664422b22d9787,Jenel Lausa,B,flyweight,0,3,300,5.0,1,0,0.4,0.0,0.0,0.2,0.2,0.0,10.4
2e209dc450b7ebe3,73e09f837f3b5ecc,2c1170b825f58e57,Guangyou Ning,B,featherweight,0,3,300,5.0,0,0,0.0,0.0,0.0,0.2,0.0,0.0,33.6
106088694fa0c682,5cde96e0a1a1fffe,73e09f837f3b5ecc,Rogerio Nogueira,B,light heavyweight,0,3,231,3.85,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4c05732d411d6412,5cde96e0a1a1fffe,5f179af5fffeb9f6,Cortney Casey,B,women's strawweight,0,3,300,5.0,0,0,0.0,0.0,0.0,0.2,0.0,0.0,3.8
ac656cebef8cf0a4,5cde96e0a1a1fffe,544d7460b3e44393,Albert Morales,B,bantamweight,0,2,97,1.61666666666667,0,0,0.0,0.0,0.0,1.23711340206186,0.618556701030928,0.0,22.2680412371134
3e1bd51261cb61df,5cde96e0a1a1fffe,4e06913c91da5200,Krzysztof Jotko,B,middleweight,0,3,300,5.0,1,0,0.0,0.0,0.0,0.4,0.2,0.0,96.8
edcf1d6a1bd8acc7,5cde96e0a1a1fffe,47cd337b86b1af92,Zak Ottow,B,welterweight,0,3,300,5.0,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
