fight_id,event_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_id,b_id,winner_id,winner
22307b580e0c8d0d,81ca2c245b19b3c5,lightweight,0,Decision - Unanimous,3,300,3,Eduardo Herdy,a8283a4f415e1eb9,887961364be5ceb3,a8283a4f415e1eb9,Francisco Trinaldo
094790e50afae55e,81ca2c245b19b3c5,featherweight,0,Submission,1,237,3,Camila Albuquerque,1ae8f3c723aacff4,7bde387d50829adf,1ae8f3c723aacff4,Ricardo Ramos
aa232e53d285cc6d,81ca2c245b19b3c5,welterweight,0,KO/TKO,3,259,3,Fernando Portella,1bcaac2d99b90fce,8f6a18831a120817,8f6a18831a120817,James Krause
e6a0f19af995c432,81ca2c245b19b3c5,welterweight,0,Submission,2,82,3,Kevin MacDonald,d317a5e2b3f88c5f,c6aee362c7a7d482,c6aee362c7a7d482,Randy Brown
80ce8f7d988d5e57,81ca2c245b19b3c5,featherweight,0,Decision - Unanimous,3,300,3,Osiris Maia,3a314d9fa7c6825d,2c99576fefe53c7c,3a314d9fa7c6825d,Douglas Silva de Andrade
1800ffbb34ac7ed8,81ca2c245b19b3c5,women's flyweight,0,Decision - Unanimous,3,300,3,Fernando Portella,6551c64fbcd1a467,e0f959f65d0406b4,6551c64fbcd1a467,Ariane da Silva
18e1b0df8da7010e,81ca2c245b19b3c5,women's bantamweight,0,Decision - Unanimous,3,300,3,Jerin Valel,9b7dfb3b7d99926a,68d4a891e5cf2029,68d4a891e5cf2029,Tracy Cortez
c3bb60dc82345a9f,8d5daf67983b65ba,featherweight,0,Decision - Unanimous,3,300,3,Marc Goddard,87aa9fb63d6b51a1,751de04455cfaac0,87aa9fb63d6b51a1,Zabit Magomedsharipov
3cd1f2c31b4e325a,8d5daf67983b65ba,heavyweight,0,Decision - Unanimous,3,300,3,Leon Roberts,279566840aa55bf2,85073dbd1be65ed9,279566840aa55bf2,Alexander Volkov
408fc024d3e91b0e,8d5daf67983b65ba,light heavyweight,0,Decision - Unanimous,3,300,3,Vyacheslav  Kiselev,c3218c810959d279,06f36cf4bd97ec77,06f36cf4bd97ec77,Ed Herman
071a1cd551b7b4d5,8d5daf67983b65ba,welterweight,0,KO/TKO,2,294,3,Rich Mitchell,7f0f171414d0a287,a6cba6bb66c1a8c9,a6cba6bb66c1a8c9,Danny Roberts
1317d7cd79495a0e,8d5daf67983b65ba,welterweight,0,Decision - Unanimous,3,300,3,Marc Goddard,abd5fb12437eda21,5331b25a60417ffb,5331b25a60417ffb,Anthony Rocco Martin
f820c6292e19d854,8d5daf67983b65ba,light heavyweight,0,Decision - Split,3,300,3,Leon Roberts,0d980975001ae3d8,7279654c7674cd24,0d980975001ae3d8,Shamil Gamzatov
343749a2f7c5d78b,8d5daf67983b65ba,light heavyweight,0,KO/TKO,3,29,3,Marc Goddard,d802174b0c0c1f4e,ce632027bf2a871b,d802174b0c0c1f4e,Magomed Ankalaev
c8dfcbee63266273,8d5daf67983b65ba,welterweight,0,Decision - Unanimous,3,300,3,Rich Mitchell,9b7694d064a8a0ad,90da09db03e41748,9b7694d064a8a0ad,Rustam Khabilov
495e64df4c4ce7a7,8d5daf67983b65ba,middleweight,0,Submission,3,241,3,Vyacheslav  Kiselev,9d83f6da776ff7d6,37d5b176d438d2a5,37d5b176d438d2a5,Karl Roberson
