fight_key,event_date,location,weight_class,method,finish_round,finish_time,scraped_at,source_url,fighter,opponent,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_attempts,passes,reversals,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,dist_landed,dist_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,opp_kd,opp_sig_landed,opp_sig_attempted,opp_td_landed,opp_td_attempted,opp_sub_attempts,opp_passes,opp_reversals
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|zach-reese-v-michel-pereira,"February 21, 2026","Houston, Texas, USA",Middleweight,Decision - Split,3,5:00,2026-03-01 02:37:33,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/zach-reese-v-michel-pereira/,Zach Reese,Michel Pereira,0,74,148,50.0,81,160,1,3,33.33,1,0,0,24,90,30,38,20,20,72,142,2,6,0,0,0,63,132,2,2,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|zach-reese-v-michel-pereira,"February 21, 2026","Houston, Texas, USA",Middleweight,Decision - Split,3,5:00,2026-03-01 02:37:33,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/zach-reese-v-michel-pereira/,Michel Pereira,Zach Reese,0,63,132,47.73,70,139,2,2,100.0,0,0,0,29,75,31,53,3,4,53,119,9,11,1,2,0,74,148,1,3,1,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|chidi-njokuani-v-carlos-leal,"February 21, 2026","Houston, Texas, USA",Welterweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:36,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/chidi-njokuani-v-carlos-leal/,Chidi Njokuani,Carlos Leal,0,120,205,58.54,124,210,0,2,0.0,0,0,0,45,110,39,57,36,38,105,187,14,16,1,2,0,115,276,0,5,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|chidi-njokuani-v-carlos-leal,"February 21, 2026","Houston, Texas, USA",Welterweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:36,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/chidi-njokuani-v-carlos-leal/,Carlos Leal,Chidi Njokuani,0,115,276,41.67,126,287,0,5,0.0,0,0,0,71,226,29,35,15,15,112,271,3,5,0,0,0,120,205,0,2,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|ode-osbourne-v-alibi-idiris,"February 21, 2026","Houston, Texas, USA",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:38,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/ode-osbourne-v-alibi-idiris/,Ode Osbourne,Alibi Idiris,0,32,90,35.56,48,107,0,1,0.0,0,0,1,21,74,11,15,0,1,27,84,5,6,0,0,0,30,75,5,15,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|ode-osbourne-v-alibi-idiris,"February 21, 2026","Houston, Texas, USA",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:38,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/ode-osbourne-v-alibi-idiris/,Alibi Idiris,Ode Osbourne,0,30,75,40.0,62,117,5,15,33.33,0,0,0,22,58,1,5,7,12,22,64,2,4,6,7,0,32,90,0,1,0,0,1
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|alden-coria-v-luis-gurule,"February 21, 2026","Houston, Texas, USA",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:40,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/alden-coria-v-luis-gurule/,Alden Coria,Luis Gurule,0,79,175,45.14,96,193,1,4,25.0,0,0,1,52,137,15,26,12,12,70,165,6,7,3,3,0,50,150,1,3,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|alden-coria-v-luis-gurule,"February 21, 2026","Houston, Texas, USA",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:40,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/alden-coria-v-luis-gurule/,Luis Gurule,Alden Coria,0,50,150,33.33,59,169,1,3,33.33,0,0,0,32,122,8,16,10,12,45,140,5,10,0,0,0,79,175,1,4,0,0,1
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|nora-cornolle-v-joselyne-edwards,"February 21, 2026","Houston, Texas, USA",Bantamweight,Submission,2,2:44,2026-03-01 02:37:43,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/nora-cornolle-v-joselyne-edwards/,Nora Cornolle,Joselyne Edwards,0,20,35,57.14,37,58,0,0,0.0,0,0,0,9,22,6,7,5,6,8,19,12,16,0,0,0,19,30,2,4,1,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|nora-cornolle-v-joselyne-edwards,"February 21, 2026","Houston, Texas, USA",Bantamweight,Submission,2,2:44,2026-03-01 02:37:43,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/nora-cornolle-v-joselyne-edwards/,Joselyne Edwards,Nora Cornolle,0,19,30,63.33,44,63,2,4,50.0,1,0,0,17,24,2,5,0,1,4,13,2,4,13,13,0,20,35,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|ramiz-brahimaj-v-punahele-soriano,"February 21, 2026","Houston, Texas, USA",Welterweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:46,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/ramiz-brahimaj-v-punahele-soriano/,Ramiz Brahimaj,Punahele Soriano,0,38,67,56.72,43,73,3,11,27.27,0,0,0,16,42,21,24,1,1,35,63,3,4,0,0,0,40,92,3,4,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|ramiz-brahimaj-v-punahele-soriano,"February 21, 2026","Houston, Texas, USA",Welterweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:46,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/ramiz-brahimaj-v-punahele-soriano/,Punahele Soriano,Ramiz Brahimaj,0,40,92,43.48,66,123,3,4,75.0,0,0,0,29,79,11,13,0,0,25,74,14,15,1,3,0,38,67,3,11,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|phil-rowe-v-jean-paul-lebosnoyani,"February 21, 2026","Houston, Texas, USA",Welterweight,Decision - Split,3,5:00,2026-03-01 02:37:47,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/phil-rowe-v-jean-paul-lebosnoyani/,Phil Rowe,Jean Paul Lebosnoyani,0,54,111,48.65,59,117,0,0,0.0,0,0,0,42,94,3,6,9,11,50,107,4,4,0,0,0,66,111,3,9,2,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|phil-rowe-v-jean-paul-lebosnoyani,"February 21, 2026","Houston, Texas, USA",Welterweight,Decision - Split,3,5:00,2026-03-01 02:37:47,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/phil-rowe-v-jean-paul-lebosnoyani/,Jean Paul Lebosnoyani,Phil Rowe,0,66,111,59.46,84,136,3,9,33.33,2,0,0,40,77,10,17,16,17,47,87,6,10,13,14,0,54,111,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|jordan-leavitt-v-yadier-del-valle,"February 21, 2026","Houston, Texas, USA",Featherweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:49,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/jordan-leavitt-v-yadier-del-valle/,Jordan Leavitt,Yadier Del Valle,0,17,45,37.78,45,86,4,8,50.0,0,0,0,7,18,3,19,7,8,12,36,0,0,5,9,0,13,42,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|jordan-leavitt-v-yadier-del-valle,"February 21, 2026","Houston, Texas, USA",Featherweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:49,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/jordan-leavitt-v-yadier-del-valle/,Yadier Del Valle,Jordan Leavitt,0,13,42,30.95,76,112,0,0,0.0,0,0,0,4,26,8,8,1,8,7,36,1,1,5,5,0,17,45,4,8,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|juliana-miller-v-carli-judice,"February 21, 2026","Houston, Texas, USA",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:50,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/juliana-miller-v-carli-judice/,Juliana Miller,Carli Judice,0,36,122,29.51,46,138,2,13,15.38,1,0,0,24,100,11,20,1,2,29,109,7,13,0,0,0,79,185,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-strickland-vs-hernandez|juliana-miller-v-carli-judice,"February 21, 2026","Houston, Texas, USA",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:50,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-hernandez/juliana-miller-v-carli-judice/,Carli Judice,Juliana Miller,0,79,185,42.7,104,214,0,0,0.0,0,0,0,53,143,20,34,6,8,75,180,3,4,1,1,0,36,122,2,13,1,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|mario-bautista-v-vinicius-oliveira,"February 07, 2026","Las Vegas, Nevada, USA",Bantamweight,Submission,2,4:46,2026-03-01 02:37:52,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/mario-bautista-v-vinicius-oliveira/,Mario Bautista,Vinicius Oliveira,0,15,27,55.56,49,63,5,7,71.43,1,0,0,10,20,5,6,0,1,6,12,0,2,9,13,0,12,21,0,1,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|mario-bautista-v-vinicius-oliveira,"February 07, 2026","Las Vegas, Nevada, USA",Bantamweight,Submission,2,4:46,2026-03-01 02:37:52,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/mario-bautista-v-vinicius-oliveira/,Vinicius Oliveira,Mario Bautista,0,12,21,57.14,18,27,0,1,0.0,0,0,0,3,10,3,5,6,6,9,18,3,3,0,0,0,15,27,5,7,1,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|amir-albazi-v-kyoji-horiguchi,"February 07, 2026","Las Vegas, Nevada, USA",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:54,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/amir-albazi-v-kyoji-horiguchi/,Amir Albazi,Kyoji Horiguchi,0,16,67,23.88,20,75,0,7,0.0,0,0,0,12,62,4,5,0,0,12,60,4,6,0,1,0,73,136,0,2,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|amir-albazi-v-kyoji-horiguchi,"February 07, 2026","Las Vegas, Nevada, USA",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:54,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/amir-albazi-v-kyoji-horiguchi/,Kyoji Horiguchi,Amir Albazi,0,73,136,53.68,99,163,0,2,0.0,0,0,0,65,123,3,6,5,7,71,133,2,3,0,0,0,16,67,0,7,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|jailton-almeida-v-rizvan-kuniev,"February 07, 2026","Las Vegas, Nevada, USA",Heavyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:56,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/jailton-almeida-v-rizvan-kuniev/,Jailton Almeida,Rizvan Kuniev,0,31,67,46.27,50,92,0,8,0.0,0,0,0,17,50,12,15,2,2,23,57,8,10,0,0,0,43,93,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|jailton-almeida-v-rizvan-kuniev,"February 07, 2026","Las Vegas, Nevada, USA",Heavyweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:56,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/jailton-almeida-v-rizvan-kuniev/,Rizvan Kuniev,Jailton Almeida,0,43,93,46.24,102,153,0,0,0.0,0,0,0,31,77,11,15,1,1,22,65,21,28,0,0,0,31,67,0,8,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|michal-oleksiejczuk-v-marc-andre-barriault,"February 07, 2026","Las Vegas, Nevada, USA",Middleweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:57,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/michal-oleksiejczuk-v-marc-andre-barriault/,Michal Oleksiejczuk,Marc Andre Barriault,0,132,233,56.65,135,237,1,3,33.33,0,0,0,92,186,33,39,7,8,119,211,12,20,1,2,0,44,121,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|michal-oleksiejczuk-v-marc-andre-barriault,"February 07, 2026","Las Vegas, Nevada, USA",Middleweight,Decision - Unanimous,3,5:00,2026-03-01 02:37:57,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/michal-oleksiejczuk-v-marc-andre-barriault/,Marc Andre Barriault,Michal Oleksiejczuk,0,44,121,36.36,45,123,0,0,0.0,0,0,0,29,104,11,13,4,4,38,113,6,8,0,0,0,132,233,1,3,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|jean-matsumoto-v-farid-basharat,"February 07, 2026","Las Vegas, Nevada, USA",Bantamweight,Decision - Split,3,5:00,2026-03-01 02:37:59,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/jean-matsumoto-v-farid-basharat/,Jean Matsumoto,Farid Basharat,0,76,220,34.55,111,263,7,11,63.64,0,0,0,40,162,20,29,16,29,62,197,14,23,0,0,0,80,152,2,7,0,0,1
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|jean-matsumoto-v-farid-basharat,"February 07, 2026","Las Vegas, Nevada, USA",Bantamweight,Decision - Split,3,5:00,2026-03-01 02:37:59,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/jean-matsumoto-v-farid-basharat/,Farid Basharat,Jean Matsumoto,0,80,152,52.63,95,172,2,7,28.57,0,0,1,63,132,14,16,3,4,66,136,14,16,0,0,0,76,220,7,11,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|dustin-jacoby-v-julius-walker,"February 07, 2026","Las Vegas, Nevada, USA",Heavyweight,KO/TKO,2,1:42,2026-03-01 02:38:02,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/dustin-jacoby-v-julius-walker/,Dustin Jacoby,Julius Walker,1,42,71,59.15,47,79,0,0,0.0,0,0,0,35,64,3,3,4,4,22,38,9,10,11,23,0,7,21,3,7,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|dustin-jacoby-v-julius-walker,"February 07, 2026","Las Vegas, Nevada, USA",Heavyweight,KO/TKO,2,1:42,2026-03-01 02:38:02,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/dustin-jacoby-v-julius-walker/,Julius Walker,Dustin Jacoby,0,7,21,33.33,12,26,3,7,42.86,0,0,0,3,17,1,1,3,3,4,12,2,7,1,2,1,42,71,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|alex-morono-v-daniil-donchenko,"February 07, 2026","Las Vegas, Nevada, USA",Welterweight,Decision - Unanimous,3,5:00,2026-03-01 02:38:04,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/alex-morono-v-daniil-donchenko/,Alex Morono,Daniil Donchenko,0,40,146,27.4,48,154,0,0,0.0,0,0,0,37,138,2,7,1,1,36,137,4,9,0,0,1,100,162,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|alex-morono-v-daniil-donchenko,"February 07, 2026","Las Vegas, Nevada, USA",Welterweight,Decision - Unanimous,3,5:00,2026-03-01 02:38:04,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/alex-morono-v-daniil-donchenko/,Daniil Donchenko,Alex Morono,1,100,162,61.73,134,214,0,0,0.0,0,0,0,45,99,21,28,34,35,82,134,7,11,11,17,0,40,146,0,0,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|nikolay-veretennikov-v-niko-price,"February 07, 2026","Las Vegas, Nevada, USA",Welterweight,KO/TKO,1,1:42,2026-03-01 02:38:07,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/nikolay-veretennikov-v-niko-price/,Nikolay Veretennikov,Niko Price,0,19,30,63.33,20,31,0,0,0.0,0,,0,12,22,6,7,1,1,10,21,9,9,0,0,0,9,23,0,0,0,,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|nikolay-veretennikov-v-niko-price,"February 07, 2026","Las Vegas, Nevada, USA",Welterweight,KO/TKO,1,1:42,2026-03-01 02:38:07,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/nikolay-veretennikov-v-niko-price/,Niko Price,Nikolay Veretennikov,0,9,23,39.13,12,27,0,0,0.0,0,,0,7,19,1,1,1,3,9,22,0,1,0,0,0,19,30,0,0,0,,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|bruna-brasil-v-ketlen-souza,"February 07, 2026","Las Vegas, Nevada, USA",Strawweight,Decision - Unanimous,3,5:00,2026-03-01 02:38:09,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/bruna-brasil-v-ketlen-souza/,Bruna Brasil,Ketlen Souza,0,31,60,51.67,65,101,1,4,25.0,0,0,0,10,32,17,23,4,5,25,53,6,7,0,0,0,33,69,1,8,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|bruna-brasil-v-ketlen-souza,"February 07, 2026","Las Vegas, Nevada, USA",Strawweight,Decision - Unanimous,3,5:00,2026-03-01 02:38:09,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/bruna-brasil-v-ketlen-souza/,Ketlen Souza,Bruna Brasil,0,33,69,47.83,64,109,1,8,12.5,0,0,0,18,42,12,22,3,5,24,59,9,10,0,0,0,31,60,1,4,0,0,0
sports-statistics.com|ufc|ufc-fight-statistics|ufc-fight-night-bautista-vs-oliveira|javid-basharat-v-gianni-vazquez,"February 07, 2026","Las Vegas, Nevada, USA",Bantamweight,Decision - Unanimous,3,5:00,2026-03-01 02:38:11,https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-bautista-vs-oliveira/javid-basharat-v-gianni-vazquez/,Javid Basharat,Gianni Vazquez,1,59,97,60.82,85,132,3,8,37.5,0,0,0,33,64,13,17,13,16,44,78,1,2,14,17,0,24,108,0,0,2,0,1
